index,tweet_id,timestamp,rating,dog_stage,favorite_count,followers_count,retweet_count,source,gender,dog_breed
0,892177421306343426,2017-08-01 00:17:27,1.3,,32529,7789116,6105,iphone,Female,chihuahua
1,891815181378084864,2017-07-31 00:18:03,1.2,,24491,7789116,4042,iphone,Male,chihuahua
2,891689557279858688,2017-07-30 15:58:51,1.3,,41208,7789116,8403,iphone,Female,labrador_retriever
3,891327558926688256,2017-07-29 16:00:24,1.2,,39395,7789116,9109,iphone,Male,basset
4,891087950875897856,2017-07-29 00:08:17,1.3,,19801,7789116,3024,iphone,Male,chesapeake_bay_retriever
5,890971913173991426,2017-07-28 16:27:12,1.3,,11573,7789116,2001,iphone,Male,appenzeller
6,890729181411237888,2017-07-28 00:22:40,1.3,,63882,7789116,18346,iphone,Unknown,pomeranian
7,890609185150312448,2017-07-27 16:25:51,1.3,,27212,7789116,4161,iphone,Female,irish_terrier
8,890240255349198849,2017-07-26 15:59:51,1.4,doggo,31209,7789116,7176,iphone,Female,pembroke
9,890006608113172480,2017-07-26 00:31:25,1.3,,29986,7789116,7127,iphone,Male,samoyed
10,889880896479866881,2017-07-25 16:11:53,1.3,,27195,7789116,4837,iphone,Male,french_bulldog
11,889665388333682689,2017-07-25 01:55:32,1.3,puppo,47040,7789116,9762,iphone,Male,pembroke
12,889638837579907072,2017-07-25 00:10:02,1.2,,26531,7789116,4401,iphone,Male,french_bulldog
13,889531135344209921,2017-07-24 17:02:04,1.3,puppo,14781,7789116,2187,iphone,Male,golden_retriever
14,889278841981685760,2017-07-24 00:19:32,1.3,,24669,7789116,5215,iphone,Male,whippet
15,888917238123831296,2017-07-23 00:22:39,1.2,,28477,7789116,4378,iphone,Male,golden_retriever
16,888804989199671297,2017-07-22 16:56:37,1.3,,24999,7789116,4166,iphone,Male,golden_retriever
17,888554962724278272,2017-07-22 00:23:06,1.3,,19382,7789116,3444,iphone,Male,siberian_husky
18,888078434458587136,2017-07-20 16:49:33,1.2,,21272,7789116,3395,iphone,Male,french_bulldog
19,887705289381826560,2017-07-19 16:06:48,1.3,,29520,7789116,5242,iphone,Male,basset
20,887473957103951883,2017-07-19 00:47:34,1.3,,67469,7789116,17675,iphone,Female,pembroke
21,887343217045368832,2017-07-18 16:08:03,1.3,,32934,7789116,10138,iphone,Unknown,mexican_hairless
22,887101392804085760,2017-07-18 00:07:08,1.2,,29902,7789116,5800,iphone,Unknown,samoyed
23,886983233522544640,2017-07-17 16:17:36,1.3,,34366,7789116,7559,iphone,Female,chihuahua
24,886736880519319552,2017-07-16 23:58:41,1.3,,11797,7789116,3185,iphone,Male,kuvasz
25,886366144734445568,2017-07-15 23:25:31,1.2,pupper,20732,7789116,3111,iphone,Unknown,french_bulldog
26,886258384151887873,2017-07-15 16:17:19,1.3,,27384,7789116,6123,iphone,Male,pug
27,885984800019947520,2017-07-14 22:10:11,1.2,,31916,7789116,6580,iphone,Male,blenheim_spaniel
28,885528943205470208,2017-07-13 15:58:47,1.3,,35169,7789116,6253,iphone,Female,pug
29,885167619883638784,2017-07-12 16:03:00,1.3,,21429,7789116,4272,iphone,Male,malamute
